Generation,N_Total,C0,mu0_A,alpha_A,mu_bar_A,p_A,epsilon_A,R_A,s_A,mu0_B,alpha_B,mu_bar_B,p_B,epsilon_B,R_B,s_B,mu0_C,alpha_C,mu_bar_C,p_C,epsilon_C,R_C,s_C,C_bar,f_abc,f_abC,f_aBc,f_aBC,f_Abc,f_AbC,f_ABc,f_ABC,var_fitness
390,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
400,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
410,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
420,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
430,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
440,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
450,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
460,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
470,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
480,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
490,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
500,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
510,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
520,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
530,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
