Generation,N_Total,C0,mu0_A,alpha_A,mu_bar_A,p_A,epsilon_A,R_A,s_A,mu0_B,alpha_B,mu_bar_B,p_B,epsilon_B,R_B,s_B,mu0_C,alpha_C,mu_bar_C,p_C,epsilon_C,R_C,s_C,C_bar,f_abc,f_abC,f_aBc,f_aBC,f_Abc,f_AbC,f_ABc,f_ABC,var_fitness
180,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
190,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
200,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
210,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
220,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
230,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
240,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
250,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
260,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
270,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
280,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
290,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
300,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
310,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
320,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
330,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
340,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
350,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
360,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
370,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
380,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
